Reading additional input from stdin...
OpenAI Codex v0.133.0
--------
workdir: C:\Users\koosh\Dino\.claude\worktrees\swapguard
model: gpt-5.3-codex-spark
provider: openai
approval: never
sandbox: danger-full-access
reasoning effort: low
reasoning summaries: none
session id: 019e80d2-a918-7061-a740-8dc004cee17e
--------
user
P0 CRASH HARDENING (DINOForge). DINO crashed on skirmish load: AssetSwapSystem swapped a mesh whose Material used the built-in 'Standard' shader into a live entity; DINO's Hybrid Renderer V2 (HRV2/URP) only accepts SRP-Batcher-compatible URP shaders, so the renderer faulted -> native crash (no managed exception). A bad material must NEVER crash the game. Branch fix/swap-shader-guard-20260531. NO push/stash/--no-verify; git add only specific files. 

FIX in src/Runtime/Bridge/AssetSwapSystem.cs: before assigning a swapped Material to a live ECS entity (in the Material-resolve/apply path — find where ResolveReplacementAssets returns a Material and where it's set on RenderMesh), VALIDATE shader compatibility: check the material's shader is URP/SRP-Batcher compatible — e.g. material.shader.name starts with "Universal Render Pipeline/" OR FindPassTagValue/shader has SRP batcher support. If the shader is NOT URP-compatible (e.g. 'Standard', 'Legacy', 'Diffuse', built-in), SKIP that material swap (keep the mesh swap if mesh is fine, or skip both), LOG ONCE per bundle ('[AssetSwap] skipped material swap for X: shader Y not HRV2-compatible'), and continue — never assign it. Add a static HashSet to log-once. netstandard2.0. Build: dotnet build src/Runtime/DINOForge.Runtime.csproj -c Release -p:TargetFramework=netstandard2.0 — exit 0. DO NOT deploy. Commit. CHANGELOG. Report: the guard code (file+lines), build exit, plainly: can a non-URP material now crash the renderer? NO expected.
codex
I’ll apply the guard in the `ResolveReplacementAssets`/`RenderMesh` assignment path inside `AssetSwapSystem.cs`, add a netstandard2.0-compatible one-time-per-bundle skip log, update `CHANGELOG.md`, then run the exact release build command and commit only touched files.
exec
"C:\\Program Files\\PowerShell\\7\\pwsh.exe" -Command 'rg -n "ResolveReplacementAssets|RenderMesh|AssetSwapSystem|Apply|material|shader" src/Runtime/Bridge/AssetSwapSystem.cs' in C:\Users\koosh\Dino\.claude\worktrees\swapguard
 succeeded in 738ms:
28:    ///   4. The system also applies RenderMesh visual swaps for ECS entities matching
37:    ///   - Visual data is stored in RenderMesh shared components.
43:    ///   1. Build a test AssetBundle with a replacement mesh/material.
C:\Users\koosh\Dino\.claude\worktrees\swapguard\src\SDK\IO\SafeFileIO.cs(29,13): warning DF0114: CancellationToken is not threaded to inner async call [C:\Users\koosh\Dino\.claude\worktrees\swapguard\src\SDK\DINOForge.SDK.csproj]
C:\Users\koosh\Dino\.claude\worktrees\swapguard\src\SDK\Assets\AssetCdnCache.cs(263,21): warning DF0111: Catch block silently swallows exception. Log via `catch (Exception ex) {{ _logger.LogWarning(ex, "context"); }}`, document with `// safe-swallow: <reason>`, or remove the try/catch. [C:\Users\koosh\Dino\.claude\worktrees\swapguard\src\SDK\DINOForge.SDK.csproj]
C:\Users\koosh\Dino\.claude\worktrees\swapguard\src\SDK\Dependencies\PackSubmoduleManager.cs(262,20): warning DF0114: CancellationToken is not threaded to inner async call [C:\Users\koosh\Dino\.claude\worktrees\swapguard\src\SDK\DINOForge.SDK.csproj]
C:\Users\koosh\Dino\.claude\worktrees\swapguard\src\SDK\Dependencies\PackSubmoduleManager.cs(275,13): warning DF0114: CancellationToken is not threaded to inner async call [C:\Users\koosh\Dino\.claude\worktrees\swapguard\src\SDK\DINOForge.SDK.csproj]
C:\Users\koosh\Dino\.claude\worktrees\swapguard\src\SDK\Dependencies\PackSubmoduleManager.cs(277,29): warning DF0114: CancellationToken is not threaded to inner async call [C:\Users\koosh\Dino\.claude\worktrees\swapguard\src\SDK\DINOForge.SDK.csproj]
C:\Users\koosh\Dino\.claude\worktrees\swapguard\src\SDK\Dependencies\PackSubmoduleManager.cs(278,28): warning DF0114: CancellationToken is not threaded to inner async call [C:\Users\koosh\Dino\.claude\worktrees\swapguard\src\SDK\DINOForge.SDK.csproj]
C:\Users\koosh\Dino\.claude\worktrees\swapguard\src\SDK\Dependencies\PackSubmoduleManager.cs(295,13): warning DF0114: CancellationToken is not threaded to inner async call [C:\Users\koosh\Dino\.claude\worktrees\swapguard\src\SDK\DINOForge.SDK.csproj]
C:\Users\koosh\Dino\.claude\worktrees\swapguard\src\SDK\Dependencies\PackSubmoduleManager.cs(299,32): warning DF0114: CancellationToken is not threaded to inner async call [C:\Users\koosh\Dino\.claude\worktrees\swapguard\src\SDK\DINOForge.SDK.csproj]
C:\Users\koosh\Dino\.claude\worktrees\swapguard\src\SDK\Dependencies\PackSubmoduleManager.cs(312,17): warning DF0114: CancellationToken is not threaded to inner async call [C:\Users\koosh\Dino\.claude\worktrees\swapguard\src\SDK\DINOForge.SDK.csproj]
C:\Users\koosh\Dino\.claude\worktrees\swapguard\src\SDK\Signing\PackVerifier.cs(151,17): warning DF0111: Catch block silently swallows exception. Log via `catch (Exception ex) {{ _logger.LogWarning(ex, "context"); }}`, document with `// safe-swallow: <reason>`, or remove the try/catch. [C:\Users\koosh\Dino\.claude\worktrees\swapguard\src\SDK\DINOForge.SDK.csproj]
C:\Users\koosh\Dino\.claude\worktrees\swapguard\src\SDK\Registry\PackRegistry.cs(228,13): warning DF0114: CancellationToken is not threaded to inner async call [C:\Users\koosh\Dino\.claude\worktrees\swapguard\src\SDK\DINOForge.SDK.csproj]
C:\Users\koosh\Dino\.claude\worktrees\swapguard\src\SDK\Registry\PackRegistry.cs(235,54): warning DF0114: CancellationToken is not threaded to inner async call [C:\Users\koosh\Dino\.claude\worktrees\swapguard\src\SDK\DINOForge.SDK.csproj]
C:\Users\koosh\Dino\.claude\worktrees\swapguard\src\SDK\Registry\PackRegistry.cs(239,31): warning DF0114: CancellationToken is not threaded to inner async call [C:\Users\koosh\Dino\.claude\worktrees\swapguard\src\SDK\DINOForge.SDK.csproj]
C:\Users\koosh\Dino\.claude\worktrees\swapguard\src\SDK\Signing\PackVerifier.cs(235,13): warning DF0111: Catch block silently swallows exception. Log via `catch (Exception ex) {{ _logger.LogWarning(ex, "context"); }}`, document with `// safe-swallow: <reason>`, or remove the try/catch. [C:\Users\koosh\Dino\.claude\worktrees\swapguard\src\SDK\DINOForge.SDK.csproj]
C:\Users\koosh\Dino\.claude\worktrees\swapguard\src\SDK\Registry\PackRegistry.cs(268,52): warning DF0114: CancellationToken is not threaded to inner async call [C:\Users\koosh\Dino\.claude\worktrees\swapguard\src\SDK\DINOForge.SDK.csproj]
C:\Users\koosh\Dino\.claude\worktrees\swapguard\src\SDK\Signing\PackSigner.cs(60,68): warning DF0094: Version constraint `*` has no upper bound. Specify a maximum (e.g. ">=0.1.0 <1.0.0") to avoid accepting unintended future versions. [C:\Users\koosh\Dino\.claude\worktrees\swapguard\src\SDK\DINOForge.SDK.csproj]
C:\Users\koosh\Dino\.claude\worktrees\swapguard\src\SDK\Signing\PackVerifier.cs(299,21): warning DF0111: Catch block silently swallows exception. Log via `catch (Exception ex) {{ _logger.LogWarning(ex, "context"); }}`, document with `// safe-swallow: <reason>`, or remove the try/catch. [C:\Users\koosh\Dino\.claude\worktrees\swapguard\src\SDK\DINOForge.SDK.csproj]
C:\Users\koosh\Dino\.claude\worktrees\swapguard\src\SDK\Signing\PackVerifier.cs(324,21): warning DF0111: Catch block silently swallows exception. Log via `catch (Exception ex) {{ _logger.LogWarning(ex, "context"); }}`, document with `// safe-swallow: <reason>`, or remove the try/catch. [C:\Users\koosh\Dino\.claude\worktrees\swapguard\src\SDK\DINOForge.SDK.csproj]
C:\Users\koosh\Dino\.claude\worktrees\swapguard\src\SDK\Signing\PackSigner.cs(196,13): warning DF0111: Catch block silently swallows exception. Log via `catch (Exception ex) {{ _logger.LogWarning(ex, "context"); }}`, document with `// safe-swallow: <reason>`, or remove the try/catch. [C:\Users\koosh\Dino\.claude\worktrees\swapguard\src\SDK\DINOForge.SDK.csproj]
C:\Users\koosh\Dino\.claude\worktrees\swapguard\src\SDK\Signing\PackSigner.cs(201,13): warning DF0111: Catch block silently swallows exception. Log via `catch (Exception ex) {{ _logger.LogWarning(ex, "context"); }}`, document with `// safe-swallow: <reason>`, or remove the try/catch. [C:\Users\koosh\Dino\.claude\worktrees\swapguard\src\SDK\DINOForge.SDK.csproj]
C:\Users\koosh\Dino\.claude\worktrees\swapguard\src\SDK\Registry\PackRegistry.cs(334,52): warning DF0114: CancellationToken is not threaded to inner async call [C:\Users\koosh\Dino\.claude\worktrees\swapguard\src\SDK\DINOForge.SDK.csproj]
C:\Users\koosh\Dino\.claude\worktrees\swapguard\src\SDK\Registry\PackRegistry.cs(368,17): warning DF0114: CancellationToken is not threaded to inner async call [C:\Users\koosh\Dino\.claude\worktrees\swapguard\src\SDK\DINOForge.SDK.csproj]
C:\Users\koosh\Dino\.claude\worktrees\swapguard\src\SDK\Registry\PackRegistry.cs(371,20): warning DF0114: CancellationToken is not threaded to inner async call [C:\Users\koosh\Dino\.claude\worktrees\swapguard\src\SDK\DINOForge.SDK.csproj]
  DINOForge.SDK -> C:\Users\koosh\Dino\.claude\worktrees\swapguard\src\SDK\bin\Release\netstandard2.0\DINOForge.SDK.dll
  DINOForge.Bridge.Protocol -> C:\Users\koosh\Dino\.claude\worktrees\swapguard\src\Bridge\Protocol\bin\Release\netstandard2.0\DINOForge.Bridge.Protocol.dll
C:\Users\koosh\Dino\.claude\worktrees\swapguard\src\Runtime\Localization\L10n.cs(63,27): warning CS8600: Converting null literal or possible null value to non-nullable type. [C:\Users\koosh\Dino\.claude\worktrees\swapguard\src\Runtime\DINOForge.Runtime.csproj::TargetFramework=netstandard2.0]
C:\Users\koosh\Dino\.claude\worktrees\swapguard\src\Runtime\Updates\UpdateChecker.cs(234,37): warning CS8602: Dereference of a possibly null reference. [C:\Users\koosh\Dino\.claude\worktrees\swapguard\src\Runtime\DINOForge.Runtime.csproj::TargetFramework=netstandard2.0]
C:\Users\koosh\Dino\.claude\worktrees\swapguard\src\Runtime\Updates\UpdateChecker.cs(250,93): warning CS8604: Possible null reference argument for parameter 'releaseUrl' in 'UpdateInfo.UpdateInfo(string componentId, string displayName, string currentVersion, string newVersion, string releaseUrl, string? changelog)'. [C:\Users\koosh\Dino\.claude\worktrees\swapguard\src\Runtime\DINOForge.Runtime.csproj::TargetFramework=netstandard2.0]
C:\Users\koosh\Dino\.claude\worktrees\swapguard\src\Runtime\Bridge\PauseMenuBridgeHelper.cs(336,24): warning CS8602: Dereference of a possibly null reference. [C:\Users\koosh\Dino\.claude\worktrees\swapguard\src\Runtime\DINOForge.Runtime.csproj::TargetFramework=netstandard2.0]
C:\Users\koosh\Dino\.claude\worktrees\swapguard\src\Runtime\UI\ModMenuPanel.cs(357,47): warning CS8604: Possible null reference argument for parameter 'log' in 'void HelpPanel.Build(Transform canvasRoot, ManualLogSource log)'. [C:\Users\koosh\Dino\.claude\worktrees\swapguard\src\Runtime\DINOForge.Runtime.csproj::TargetFramework=netstandard2.0]
C:\Users\koosh\Dino\.claude\worktrees\swapguard\src\Runtime\UI\LoadingScreenController.cs(700,36): warning CS8600: Converting null literal or possible null value to non-nullable type. [C:\Users\koosh\Dino\.claude\worktrees\swapguard\src\Runtime\DINOForge.Runtime.csproj::TargetFramework=netstandard2.0]
C:\Users\koosh\Dino\.claude\worktrees\swapguard\src\Runtime\UI\ModMenuPanel.cs(2498,21): warning CS8604: Possible null reference argument for parameter 'text' in 'Text UiBuilder.MakeText(Transform parent, string name, string text, int fontSize, Color color, bool bold = false, TextAnchor alignment = TextAnchor.MiddleLeft)'. [C:\Users\koosh\Dino\.claude\worktrees\swapguard\src\Runtime\DINOForge.Runtime.csproj::TargetFramework=netstandard2.0]
C:\Users\koosh\Dino\.claude\worktrees\swapguard\src\Runtime\UI\ModMenuPanel.cs(3272,66): warning CS8602: Dereference of a possibly null reference. [C:\Users\koosh\Dino\.claude\worktrees\swapguard\src\Runtime\DINOForge.Runtime.csproj::TargetFramework=netstandard2.0]
C:\Users\koosh\Dino\.claude\worktrees\swapguard\src\Runtime\HotReload\HmrTieredReloader.cs(27,42): warning DF1006: Field `{0}` of type `{1}` is disposable. The containing class `{2}` should implement IDisposable and dispose the field in a Dispose method, or use `using` at field initialization (e.g., field with initializer `= new {...}`). [C:\Users\koosh\Dino\.claude\worktrees\swapguard\src\Runtime\DINOForge.Runtime.csproj::TargetFramework=netstandard2.0]
C:\Users\koosh\Dino\.claude\worktrees\swapguard\src\Runtime\Graphics\EnvironmentThemeSwap.cs(50,42): warning DF1006: Field `{0}` of type `{1}` is disposable. The containing class `{2}` should implement IDisposable and dispose the field in a Dispose method, or use `using` at field initialization (e.g., field with initializer `= new {...}`). [C:\Users\koosh\Dino\.claude\worktrees\swapguard\src\Runtime\DINOForge.Runtime.csproj::TargetFramework=netstandard2.0]
C:\Users\koosh\Dino\.claude\worktrees\swapguard\src\Runtime\Localization\L10n.cs(15,47): warning DF1001: Static field `_strings` is a mutable collection; modifications from multiple threads risk race. Either: (a) initialize as `ConcurrentDictionary`/`ConcurrentBag`, (b) wrap modifications in `lock`, or (c) make it `static readonly` immutable view. [C:\Users\koosh\Dino\.claude\worktrees\swapguard\src\Runtime\DINOForge.Runtime.csproj::TargetFramework=netstandard2.0]
C:\Users\koosh\Dino\.claude\worktrees\swapguard\src\Runtime\Profiles\ProfileManager.cs(38,42): warning DF1006: Field `{0}` of type `{1}` is disposable. The containing class `{2}` should implement IDisposable and dispose the field in a Dispose method, or use `using` at field initialization (e.g., field with initializer `= new {...}`). [C:\Users\koosh\Dino\.claude\worktrees\swapguard\src\Runtime\DINOForge.Runtime.csproj::TargetFramework=netstandard2.0]
C:\Users\koosh\Dino\.claude\worktrees\swapguard\src\Runtime\Updates\UpdateChecker.cs(75,44): warning DF1006: Field `{0}` of type `{1}` is disposable. The containing class `{2}` should implement IDisposable and dispose the field in a Dispose method, or use `using` at field initialization (e.g., field with initializer `= new {...}`). [C:\Users\koosh\Dino\.claude\worktrees\swapguard\src\Runtime\DINOForge.Runtime.csproj::TargetFramework=netstandard2.0]
C:\Users\koosh\Dino\.claude\worktrees\swapguard\src\Runtime\UI\MainMenuThemer.cs(22,42): warning DF1006: Field `{0}` of type `{1}` is disposable. The containing class `{2}` should implement IDisposable and dispose the field in a Dispose method, or use `using` at field initialization (e.g., field with initializer `= new {...}`). [C:\Users\koosh\Dino\.claude\worktrees\swapguard\src\Runtime\DINOForge.Runtime.csproj::TargetFramework=netstandard2.0]
C:\Users\koosh\Dino\.claude\worktrees\swapguard\src\Runtime\Assets\AssetCdnCache.cs(133,17): warning DF0111: Catch block silently swallows exception. Log via `catch (Exception ex) {{ _logger.LogWarning(ex, "context"); }}`, document with `// safe-swallow: <reason>`, or remove the try/catch. [C:\Users\koosh\Dino\.claude\worktrees\swapguard\src\Runtime\DINOForge.Runtime.csproj::TargetFramework=netstandard2.0]
C:\Users\koosh\Dino\.claude\worktrees\swapguard\src\Runtime\Bridge\AssetSwapSystem.cs(258,21): warning DF0111: Catch block silently swallows exception. Log via `catch (Exception ex) {{ _logger.LogWarning(ex, "context"); }}`, document with `// safe-swallow: <reason>`, or remove the try/catch. [C:\Users\koosh\Dino\.claude\worktrees\swapguard\src\Runtime\DINOForge.Runtime.csproj::TargetFramework=netstandard2.0]
C:\Users\koosh\Dino\.claude\worktrees\swapguard\src\Runtime\Bridge\AssetSwapSystem.cs(270,13): warning DF0111: Catch block silently swallows exception. Log via `catch (Exception ex) {{ _logger.LogWarning(ex, "context"); }}`, document with `// safe-swallow: <reason>`, or remove the try/catch. [C:\Users\koosh\Dino\.claude\worktrees\swapguard\src\Runtime\DINOForge.Runtime.csproj::TargetFramework=netstandard2.0]
C:\Users\koosh\Dino\.claude\worktrees\swapguard\src\Runtime\Capture\SessionRecorder.cs(179,21): warning DF0111: Catch block silently swallows exception. Log via `catch (Exception ex) {{ _logger.LogWarning(ex, "context"); }}`, document with `// safe-swallow: <reason>`, or remove the try/catch. [C:\Users\koosh\Dino\.claude\worktrees\swapguard\src\Runtime\DINOForge.Runtime.csproj::TargetFramework=netstandard2.0]
C:\Users\koosh\Dino\.claude\worktrees\swapguard\src\Runtime\Capture\SessionRecorder.cs(182,17): warning DF0111: Catch block silently swallows exception. Log via `catch (Exception ex) {{ _logger.LogWarning(ex, "context"); }}`, document with `// safe-swallow: <reason>`, or remove the try/catch. [C:\Users\koosh\Dino\.claude\worktrees\swapguard\src\Runtime\DINOForge.Runtime.csproj::TargetFramework=netstandard2.0]
C:\Users\koosh\Dino\.claude\worktrees\swapguard\src\Runtime\Assets\AssetCdnCache.cs(152,21): warning DF0105: Found `totalBytes += Length` in class with Dispose/OnDestroy but no matching `-= Length` in cleanup. Add `totalBytes -= Length` in Dispose/OnDestroy to prevent listener leaks. [C:\Users\koosh\Dino\.claude\worktrees\swapguard\src\Runtime\DINOForge.Runtime.csproj::TargetFramework=netstandard2.0]
C:\Users\koosh\Dino\.claude\worktrees\swapguard\src\Runtime\Assets\AssetCdnCache.cs(185,21): warning DF1023: Catch block has no body. Exception is silently swallowed. Add logging or '// safe-swallow: <reason>' marker. [C:\Users\koosh\Dino\.claude\worktrees\swapguard\src\Runtime\DINOForge.Runtime.csproj::TargetFramework=netstandard2.0]
C:\Users\koosh\Dino\.claude\worktrees\swapguard\src\Runtime\Assets\AssetCdnCache.cs(185,21): warning DF0111: Catch block silently swallows exception. Log via `catch (Exception ex) {{ _logger.LogWarning(ex, "context"); }}`, document with `// safe-swallow: <reason>`, or remove the try/catch. [C:\Users\koosh\Dino\.claude\worktrees\swapguard\src\Runtime\DINOForge.Runtime.csproj::TargetFramework=netstandard2.0]
C:\Users\koosh\Dino\.claude\worktrees\swapguard\src\Runtime\Bridge\AssetSwapSystem.cs(398,92): warning DF0111: Catch block silently swallows exception. Log via `catch (Exception ex) {{ _logger.LogWarning(ex, "context"); }}`, document with `// safe-swallow: <reason>`, or remove the try/catch. [C:\Users\koosh\Dino\.claude\worktrees\swapguard\src\Runtime\DINOForge.Runtime.csproj::TargetFramework=netstandard2.0]
C:\Users\koosh\Dino\.claude\worktrees\swapguard\src\Runtime\Bridge\AssetSwapSystem.cs(414,104): warning DF0111: Catch block silently swallows exception. Log via `catch (Exception ex) {{ _logger.LogWarning(ex, "context"); }}`, document with `// safe-swallow: <reason>`, or remove the try/catch. [C:\Users\koosh\Dino\.claude\worktrees\swapguard\src\Runtime\DINOForge.Runtime.csproj::TargetFramework=netstandard2.0]
C:\Users\koosh\Dino\.claude\worktrees\swapguard\src\Runtime\Capture\NavigationScripter.cs(329,17): warning DF0105a: NavigationScripter has event subscription 'elapsed += poll' but no Dispose/OnDestroy/OnDisable/Close method - handler can never unsubscribe [C:\Users\koosh\Dino\.claude\worktrees\swapguard\src\Runtime\DINOForge.Runtime.csproj::TargetFramework=netstandard2.0]
C:\Users\koosh\Dino\.claude\worktrees\swapguard\src\Runtime\Capture\SessionRecorder.cs(385,13): warning DF0111: Catch block silently swallows exception. Log via `catch (Exception ex) {{ _logger.LogWarning(ex, "context"); }}`, document with `// safe-swallow: <reason>`, or remove the try/catch. [C:\Users\koosh\Dino\.claude\worktrees\swapguard\src\Runtime\DINOForge.Runtime.csproj::TargetFramework=netstandard2.0]
C:\Users\koosh\Dino\.claude\worktrees\swapguard\src\Runtime\Capture\NavigationScripter.cs(315,17): warning DF0105a: NavigationScripter has event subscription 'elapsed += poll' but no Dispose/OnDestroy/OnDisable/Close method - handler can never unsubscribe [C:\Users\koosh\Dino\.claude\worktrees\swapguard\src\Runtime\DINOForge.Runtime.csproj::TargetFramework=netstandard2.0]
C:\Users\koosh\Dino\.claude\worktrees\swapguard\src\Runtime\Bridge\BuildingDestructionVFXSystem.cs(153,13): warning DF0111: Catch block silently swallows exception. Log via `catch (Exception ex) {{ _logger.LogWarning(ex, "context"); }}`, document with `// safe-swallow: <reason>`, or remove the try/catch. [C:\Users\koosh\Dino\.claude\worktrees\swapguard\src\Runtime\DINOForge.Runtime.csproj::TargetFramework=netstandard2.0]
C:\Users\koosh\Dino\.claude\worktrees\swapguard\src\Runtime\Graphics\EnvironmentThemeSwap.cs(94,17): warning DF0096: 'LogWarning' uses 'ex.Message' but does not pass 'ex' as an argument; the stack trace is lost. Pass the exception (e.g. 'LogWarning(ex, "...")') or interpolate '{ex}' (without .Message) to render ToString(). Suppress with '// pattern-96-ok: <reason>'. [C:\Users\koosh\Dino\.claude\worktrees\swapguard\src\Runtime\DINOForge.Runtime.csproj::TargetFramework=netstandard2.0]
C:\Users\koosh\Dino\.claude\worktrees\swapguard\src\Runtime\Capture\SessionRecorder.cs(482,13): warning DF0106: File.ReadAllText without explicit Encoding detected. Use SafeFileIO.ReadText(path) or pass Encoding.UTF8 explicitly. [C:\Users\koosh\Dino\.claude\worktrees\swapguard\src\Runtime\DINOForge.Runtime.csproj::TargetFramework=netstandard2.0]
C:\Users\koosh\Dino\.claude\worktrees\swapguard\src\Runtime\Updates\UpdateChecker.cs(188,37): warning DF0114: CancellationToken is not threaded to inner async call [C:\Users\koosh\Dino\.claude\worktrees\swapguard\src\Runtime\DINOForge.Runtime.csproj::TargetFramework=netstandard2.0]
C:\Users\koosh\Dino\.claude\worktrees\swapguard\src\Runtime\Localization\L10n.cs(84,31): warning DF0106: File.ReadAllText without explicit Encoding detected. Use SafeFileIO.ReadText(path) or pass Encoding.UTF8 explicitly. [C:\Users\koosh\Dino\.claude\worktrees\swapguard\src\Runtime\DINOForge.Runtime.csproj::TargetFramework=netstandard2.0]
C:\Users\koosh\Dino\.claude\worktrees\swapguard\src\Runtime\Updates\UpdateChecker.cs(118,52): warning DF0114: CancellationToken is not threaded to inner async call [C:\Users\koosh\Dino\.claude\worktrees\swapguard\src\Runtime\DINOForge.Runtime.csproj::TargetFramework=netstandard2.0]
C:\Users\koosh\Dino\.claude\worktrees\swapguard\src\Runtime\Updates\UpdateChecker.cs(133,35): warning DF0114: CancellationToken is not threaded to inner async call [C:\Users\koosh\Dino\.claude\worktrees\swapguard\src\Runtime\DINOForge.Runtime.csproj::TargetFramework=netstandard2.0]
C:\Users\koosh\Dino\.claude\worktrees\swapguard\src\Runtime\Updates\UpdateChecker.cs(137,13): warning DF0111: Catch block silently swallows exception. Log via `catch (Exception ex) {{ _logger.LogWarning(ex, "context"); }}`, document with `// safe-swallow: <reason>`, or remove the try/catch. [C:\Users\koosh\Dino\.claude\worktrees\swapguard\src\Runtime\DINOForge.Runtime.csproj::TargetFramework=netstandard2.0]
C:\Users\koosh\Dino\.claude\worktrees\swapguard\src\Runtime\Updates\UpdateChecker.cs(269,30): warning DF0106: File.ReadAllText without explicit Encoding detected. Use SafeFileIO.ReadText(path) or pass Encoding.UTF8 explicitly. [C:\Users\koosh\Dino\.claude\worktrees\swapguard\src\Runtime\DINOForge.Runtime.csproj::TargetFramework=netstandard2.0]
C:\Users\koosh\Dino\.claude\worktrees\swapguard\src\Runtime\Updates\UpdateChecker.cs(280,13): warning DF0111: Catch block silently swallows exception. Log via `catch (Exception ex) {{ _logger.LogWarning(ex, "context"); }}`, document with `// safe-swallow: <reason>`, or remove the try/catch. [C:\Users\koosh\Dino\.claude\worktrees\swapguard\src\Runtime\DINOForge.Runtime.csproj::TargetFramework=netstandard2.0]
C:\Users\koosh\Dino\.claude\worktrees\swapguard\src\Runtime\Updates\UpdateChecker.cs(298,17): warning DF0106: File.ReadAllText without explicit Encoding detected. Use SafeFileIO.ReadText(path) or pass Encoding.UTF8 explicitly. [C:\Users\koosh\Dino\.claude\worktrees\swapguard\src\Runtime\DINOForge.Runtime.csproj::TargetFramework=netstandard2.0]
C:\Users\koosh\Dino\.claude\worktrees\swapguard\src\Runtime\Profiles\ProfileManager.cs(55,17): warning DF0096: 'LogWarning' uses 'ex.Message' but does not pass 'ex' as an argument; the stack trace is lost. Pass the exception (e.g. 'LogWarning(ex, "...")') or interpolate '{ex}' (without .Message) to render ToString(). Suppress with '// pattern-96-ok: <reason>'. [C:\Users\koosh\Dino\.claude\worktrees\swapguard\src\Runtime\DINOForge.Runtime.csproj::TargetFramework=netstandard2.0]
C:\Users\koosh\Dino\.claude\worktrees\swapguard\src\Runtime\Localization\L10n.cs(145,9): warning DF0111: Catch block silently swallows exception. Log via `catch (Exception ex) {{ _logger.LogWarning(ex, "context"); }}`, document with `// safe-swallow: <reason>`, or remove the try/catch. [C:\Users\koosh\Dino\.claude\worktrees\swapguard\src\Runtime\DINOForge.Runtime.csproj::TargetFramework=netstandard2.0]
C:\Users\koosh\Dino\.claude\worktrees\swapguard\src\Runtime\Profiles\ProfileManager.cs(76,17): warning DF0096: 'LogWarning' uses 'ex.Message' but does not pass 'ex' as an argument; the stack trace is lost. Pass the exception (e.g. 'LogWarning(ex, "...")') or interpolate '{ex}' (without .Message) to render ToString(). Suppress with '// pattern-96-ok: <reason>'. [C:\Users\koosh\Dino\.claude\worktrees\swapguard\src\Runtime\DINOForge.Runtime.csproj::TargetFramework=netstandard2.0]
C:\Users\koosh\Dino\.claude\worktrees\swapguard\src\Runtime\Capture\SessionRecorder.cs(506,13): warning DF0106: File.ReadAllText without explicit Encoding detected. Use SafeFileIO.ReadText(path) or pass Encoding.UTF8 explicitly. [C:\Users\koosh\Dino\.claude\worktrees\swapguard\src\Runtime\DINOForge.Runtime.csproj::TargetFramework=netstandard2.0]
C:\Users\koosh\Dino\.claude\worktrees\swapguard\src\Runtime\Capture\SessionRecorder.cs(488,67): warning DF0111: Catch block silently swallows exception. Log via `catch (Exception ex) {{ _logger.LogWarning(ex, "context"); }}`, document with `// safe-swallow: <reason>`, or remove the try/catch. [C:\Users\koosh\Dino\.claude\worktrees\swapguard\src\Runtime\DINOForge.Runtime.csproj::TargetFramework=netstandard2.0]
C:\Users\koosh\Dino\.claude\worktrees\swapguard\src\Runtime\Profiles\ProfileManager.cs(95,31): warning DF0106: File.ReadAllText without explicit Encoding detected. Use SafeFileIO.ReadText(path) or pass Encoding.UTF8 explicitly. [C:\Users\koosh\Dino\.claude\worktrees\swapguard\src\Runtime\DINOForge.Runtime.csproj::TargetFramework=netstandard2.0]
C:\Users\koosh\Dino\.claude\worktrees\swapguard\src\Runtime\Profiles\ProfileManager.cs(108,17): warning DF0096: 'LogWarning' uses 'ex.Message' but does not pass 'ex' as an argument; the stack trace is lost. Pass the exception (e.g. 'LogWarning(ex, "...")') or interpolate '{ex}' (without .Message) to render ToString(). Suppress with '// pattern-96-ok: <reason>'. [C:\Users\koosh\Dino\.claude\worktrees\swapguard\src\Runtime\DINOForge.Runtime.csproj::TargetFramework=netstandard2.0]
C:\Users\koosh\Dino\.claude\worktrees\swapguard\src\Runtime\Telemetry\MetricsCollector.cs(172,13): warning DF0111: Catch block silently swallows exception. Log via `catch (Exception ex) {{ _logger.LogWarning(ex, "context"); }}`, document with `// safe-swallow: <reason>`, or remove the try/catch. [C:\Users\koosh\Dino\.claude\worktrees\swapguard\src\Runtime\DINOForge.Runtime.csproj::TargetFramework=netstandard2.0]
C:\Users\koosh\Dino\.claude\worktrees\swapguard\src\Runtime\Bridge\FrameCapture.cs(145,18): warning DF0116: Use `await` instead of `.Result` / `.Wait()`. Blocking on a task risks deadlock when continuations need the captured context. If unavoidable, document with `// sync-over-async-unavoidable: <reason>`. [C:\Users\koosh\Dino\.claude\worktrees\swapguard\src\Runtime\DINOForge.Runtime.csproj::TargetFramework=netstandard2.0]
C:\Users\koosh\Dino\.claude\worktrees\swapguard\src\Runtime\Profiles\ProfileManager.cs(144,17): warning DF0106: File.ReadAllText without explicit Encoding detected. Use SafeFileIO.ReadText(path) or pass Encoding.UTF8 explicitly. [C:\Users\koosh\Dino\.claude\worktrees\swapguard\src\Runtime\DINOForge.Runtime.csproj::TargetFramework=netstandard2.0]
